Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
align technology,manager-reporting and analytics,['hyderabad'],4,6,data validation,data analysis,machine learning,genetics,data mining,business intelligence,business case,data analysis
align technology,software engineer,['hyderabad'],2,4,rdbms,jsp,mysql,web development,machine learning,struts,application development,jira
gaian solutions,senior qa engineer,['hyderabad'],4,9,telecom,san,automation,test strategy,test management,test scenarios,test cases,jira
sonata software limited,sr tester,['hyderabad'],3,7,process automation,sap,managed services,test strategy,cyber security,functional testing,artificial intelligence,machine learning
"f5 networks, inc",sr principal software engineer,['hyderabad'],13,17,product management,computer science,machine learning,agile,technical lead,scrum,open source,jira
"f5 networks, inc",sr principal software engineer,['hyderabad'],7,11,product management,computer science,front end,coding,machine learning,agile,scrum,open source
blue yonder,sr operations analyst (compliance governance),['hyderabad'],7,10,supply chain,hibernate,automation,rdbms,machine learning,jira,data analysis,python
agreeya,senior software engineer || java semantic,['hyderabad'],4,9,it skills,java,j2ee,python,data science,data cleansing,spring boot,front end
american bureau of shipping,senior product manager,['hyderabad'],4,9,product management,supervisor,manufacturing process,machine learning,corporate,agile,scrum,data analysis
novo nordisk centre (india) pvt ltd,master data maintainer - sr. professional,['bangalore'],4,6,mdm,master data management,master data,sap mdm,,,,
fast tech consultant,"back office, data entry, computer operator & freshers",['pune'],0,3,bpo,back office,inbound process,bcom,email support,computer operating,back office executive,12th pass
fast tech consultant,bpo/computer data entry operator / back office executive,"['thane', 'mumbai', 'navi mumbai']",0,3,bpo,data entry,inbound process,bcom,email support,computer operating,back office executive,12th pass
fast tech consultant,computer operator | mis |back office executive | data entry | fresher,"['thane', 'mumbai', 'navi mumbai']",0,3,bpo,data entry,inbound process,bcom,email support,computer operating,back office executive,12th pass
pinesucceed,python web developer,['jaipur'],2,7,backend,front end,web services,application programming,data analysis,web application,machine learning,programming
imperial training & consulting,data analyst,"['noida', 'greater noida']",0,2,lead generation,data analysis,data management,data analyst,data mining,data extraction,data profiling,
saffron consultancy services(scs),data processor,['mumbai'],1,3,help desk,customer service,data analysis,customer relationship,access controls,telephony support,asset management,vendor management
huquo consulting pvt. ltd,data engineer - functional programming/big data,['bangalore'],3,6,data quality,devops,open source,data pipeline,functional programming,oops,big data,machine learning
huquo consulting pvt. ltd,big data architect - bi/dw/etl,['bangalore'],4,9,big data architect,java,data migration,hadoop,big data,bi/dw,database design,machine learning
maven workforce,big data engineer,"['mumbai', 'bangalore', 'pune', 'hyderabad']",4,9,hive,scala,scripting languages,big data,unix shell scripting,spark,hdfs,impala
accenture solutions pvt ltd,microsoft modern data platform business and integration architect,['mumbai'],8,10,consulting,shell scripting,business strategy,microsoft,business intelligence,cosmos,data analysis,analysis services
accenture solutions pvt ltd,data management consulting,['bangalore'],12,15,interpersonal skills,data management,business analysis,staffing,gcp,management consulting,business strategy,big data
accenture solutions pvt ltd,microsoft modern data platform application lead,['bangalore'],4,6,data analysis,consulting,manager technology,application lead,stored procedures,professional services,management,microsoft
accenture solutions pvt ltd,microsoft modern data platform business and integration architect,['hyderabad'],6,8,solution design,interpersonal skills,consulting,manager technology,data analysis,stored procedures,business strategy,microsoft
accenture solutions pvt ltd,sap for utilities energy data management device management application,['pune'],4,6,business process,sap,front end,data management,functional testing,data analysis,consulting,operations
accenture solutions pvt ltd,sap master data governance application lead,['mumbai'],4,6,sap,quality standards,data services,technical design,consulting,architectural design,data governance,workflow
accenture solutions pvt ltd,microsoft azure data transformation services application developer,['bangalore'],6,8,business process,data transformation services,team management,git,data management,consulting,agile,oracle
accenture solutions pvt ltd,microsoft modern data platform application developer,['hyderabad'],4,6,business process,interpersonal skills,networking,consulting,manager technology,sql,microsoft azure,professional services
accenture solutions pvt ltd,acn - digital - data & insights - 07,['bangalore'],10,12,strategy consulting,service delivery,team management,project management,client engagement,manager technology,director,data analysis
accenture solutions pvt ltd,acn - digital - data & insights - 11,['bangalore'],2,4,data management,consulting,mysql,machine learning,agile,oracle,data analysis,sql
transorg analytics,business development manager - bfsi,['gurgaon'],6,8,communication skills,selling services,b2b,business development manager,client presentations,bdm,bfsi domain,bfsi sales
benovymed healthcare,chatbot developer - machine/deep learning algorithms,"['delhi', 'gurgaon']",1,5,pytorch,data science,cnn,r,nlp,artificial intelligence,keras,machine learning
sun life india service centre pvt. ltd.,senior specialist development,['gurgaon'],5,10,cloud computing,sas,gcp,data analysis,machine learning,application development,data mining,data analysis
scry analytics india pvt ltd.,senior technical architect/ technical pm/ tech lead-11+ yrs experience,['gurgaon'],11,18,sprint planning,machine learning,project planning,it skills,java,python,data science,big data
green agrevolution pvt. ltd. (dehaat),backend developer(python/java/ruby),"['gurgaon', 'bangalore']",3,8,java,python,sql,rest,django,data structures,ruby,flask
huquo consulting pvt. ltd,senior business analyst - credit risk analytics,"['delhi', 'gurgaon', 'bangalore']",2,5,data analysis,communication skills,data analysis,sas,microsoft excel,vba,data insights generation,risk analytics
l a consultancy,edi analyst / specialist - qad,"['mumbai', 'bangalore', 'pune', 'chennai', 'kochi']",3,6,qad edi,jira,communication skills,data analysis,data analysis,techno functional,business system,data mapping
hcl technologies limited,hcl hiring for azure dev-ops engineer/ azure architect,"['noida', 'delhi', 'gurgaon']",7,12,azure data factory,azure databricks,performance tuning,power bi,sql,azure data lake,load balancing,primary skills
next bee corporation,senior java developer,"['lucknow', 'gurgaon', 'chandigarh']",5,10,core java,solr,lucene,it skills,java,j2ee,machine learning,elastic search
delhivery,"analyst, business analytics",['gurgaon'],3,5,data analysis,data analysis,business analysis,time series,machine learning,machine learning,tools,ms office
transorg analytics,entrepreneur in residence ( eir) – ml education,['gurgaon'],5,10,education,product research,project management,product strategy,b2c,entrepreneurial,,
builder.ai,sr manager - revenue finance,['gurgaon'],4,8,o2c,automation,interpersonal skills,business concepts,erp system,finance,revenue recognition,machine learning
sirionlabs,software / senior software engineer - java,['gurgaon'],2,6,continuous integration,big data analytics,saas,machine learning,scala,agile,mongodb,unit testing
hyundai mobis india ltd,executive/sr. executive,['gurgaon'],1,2,performance metrics,microsoft excel,business generation,data analysis,data collection,business insights,senior management,dashboards
execboardinasia,"senior director, air brands and experiences technology",['gurgaon'],11,15,product engineering,executive,data science,process improvement,manager technology,director,advocate,servicing
roposo,machine learning expert,"['gurgaon', 'bangalore']",2,5,linux,spark,machine learning,scala,distribution system,python,,
builder.ai,senior manager - product marketing,['gurgaon'],4,8,customer acquisition,global marketing,competitive analysis,data analysis,machine learning,agile,strategic planning,cross functional coordination
sun life india service centre pvt. ltd.,senior manager business excellence,['gurgaon'],6,8,relationship management,process design,change management,automation,business analysis,process improvement,consulting,agile
nextogen technologies pvt. ltd.,python & spark developer,"['gurgaon', 'pune', 'hyderabad']",1,5,application deployment,data analysis,cassandra,spark,hadoop,infrastructure,stored procedures,sdlc
huquo consulting pvt. ltd,senior business analyst - insurance,['gurgaon'],4,7,software development,reinsurance,c,data analysis,requirement gathering,agile,data analysis,project development
transorg analytics,business development manager - bfsi,['gurgaon'],6,8,communication skills,selling services,b2b,business development manager,client presentations,bdm,bfsi domain,bfsi sales
benovymed healthcare,chatbot developer - machine/deep learning algorithms,"['delhi', 'gurgaon']",1,5,pytorch,data science,cnn,r,nlp,artificial intelligence,keras,machine learning
sun life india service centre pvt. ltd.,senior specialist development,['gurgaon'],5,10,cloud computing,sas,gcp,data analysis,machine learning,application development,data mining,data analysis
scry analytics india pvt ltd.,senior technical architect/ technical pm/ tech lead-11+ yrs experience,['gurgaon'],11,18,sprint planning,machine learning,project planning,it skills,java,python,data science,big data
green agrevolution pvt. ltd. (dehaat),backend developer(python/java/ruby),"['gurgaon', 'bangalore']",3,8,java,python,sql,rest,django,data structures,ruby,flask
huquo consulting pvt. ltd,senior business analyst - credit risk analytics,"['delhi', 'gurgaon', 'bangalore']",2,5,data analysis,communication skills,data analysis,sas,microsoft excel,vba,data insights generation,risk analytics
l a consultancy,edi analyst / specialist - qad,"['mumbai', 'bangalore', 'pune', 'chennai', 'kochi']",3,6,qad edi,jira,communication skills,data analysis,data analysis,techno functional,business system,data mapping
hcl technologies limited,hcl hiring for azure dev-ops engineer/ azure architect,"['noida', 'delhi', 'gurgaon']",7,12,azure data factory,azure databricks,performance tuning,power bi,sql,azure data lake,load balancing,primary skills
next bee corporation,senior java developer,"['lucknow', 'gurgaon', 'chandigarh']",5,10,core java,solr,lucene,it skills,java,j2ee,machine learning,elastic search
delhivery,"analyst, business analytics",['gurgaon'],3,5,data analysis,data analysis,business analysis,time series,machine learning,machine learning,tools,ms office
transorg analytics,entrepreneur in residence ( eir) – ml education,['gurgaon'],5,10,education,product research,project management,product strategy,b2c,entrepreneurial,,
builder.ai,sr manager - revenue finance,['gurgaon'],4,8,o2c,automation,interpersonal skills,business concepts,erp system,finance,revenue recognition,machine learning
sirionlabs,software / senior software engineer - java,['gurgaon'],2,6,continuous integration,big data analytics,saas,machine learning,scala,agile,mongodb,unit testing
hyundai mobis india ltd,executive/sr. executive,['gurgaon'],1,2,performance metrics,microsoft excel,business generation,data analysis,data collection,business insights,senior management,dashboards
execboardinasia,"senior director, air brands and experiences technology",['gurgaon'],11,15,product engineering,executive,data science,process improvement,manager technology,director,advocate,servicing
roposo,machine learning expert,"['gurgaon', 'bangalore']",2,5,linux,spark,machine learning,scala,distribution system,python,,
builder.ai,senior manager - product marketing,['gurgaon'],4,8,customer acquisition,global marketing,competitive analysis,data analysis,machine learning,agile,strategic planning,cross functional coordination
sun life india service centre pvt. ltd.,senior manager business excellence,['gurgaon'],6,8,relationship management,process design,change management,automation,business analysis,process improvement,consulting,agile
nextogen technologies pvt. ltd.,python & spark developer,"['gurgaon', 'pune', 'hyderabad']",1,5,application deployment,data analysis,cassandra,spark,hadoop,infrastructure,stored procedures,sdlc
huquo consulting pvt. ltd,senior business analyst - insurance,['gurgaon'],4,7,software development,reinsurance,c,data analysis,requirement gathering,agile,data analysis,project development
healthkart,business analyst,['gurgaon'],2,7,business intelligence,marketing intelligence,microsoft excel,consumer insights,business analysis,data integration,python,
cherry e-commerce services pvt ltd,hiring quality analyst for a leading global brand!,"['noida', 'ghaziabad', 'gurgaon', 'faridabad']",2,7,bpo,auditing,process improvement,data analysis,training,daily reports,feedback,quality analysis
quadrangle search,machine learning - tech lead and tech architect,['gurgaon'],6,11,it skills,python,tensorflow,machine learning,,,,
wolters kluwer india pvt ltd,"machine learning(artificial intelligence tools) at wolters kluwer,pune","['mumbai', 'pune', 'ahmednagar', 'nasik', 'nagpur']",3,8,machine learning,nlp,deep learning,scikit-learn,anaconda,neural networks,nltk,decision tree
decision point,tech recruiter,"['chennai', 'gurgaon']",1,6,training need analysis,communication skills,employee engagement,sourcing,hr operations,ms office,technical recruitment,recruitment
universal manpower online,analyst in mnc - 3.5 lpa / 5 days working / both side cab,"['delhi', 'gurgaon', 'new delhi']",0,5,lookup,macros,sumif,mnc,fresher graduate,back office,mis analyst,vlookup
brunel india pvt ltd,account manager,"['mumbai', 'bangalore']",3,8,javascript,cms,agile,html,scrum,visual studio,microsoft,sdlc
acs global tech solutions pvt. ltd.,hybrid mobile developer,"['mumbai', 'bangalore']",2,7,ionic framework,mfp,angular,software development,html5,web technologies,mysql,javascript
snaphunt,senior machine learning engineer,['mumbai'],6,11,it skills,python,machine learning,pytorch,tensorflow,docker,artificial intelligence,go
curai health,urgent hiring for a clinical associate position (medical officer),"['mumbai', 'new delhi', 'bangalore']",5,10,mbbs,telemedicine,medical officer,remote work,general medicine,healthcare,medical,emr
solvoguru,web developer/app developer/full stack developer- work from home,"['mumbai', 'delhi', 'bangalore']",5,10,java,c,web technologies,artificial intelligence,html,machine learning,mobile application development,android application development
lobo staffing solutions private limited,excellent job opportunity for it tech recruiter/sr tech recruiter,['mumbai'],3,8,ats,linkedin,communication skills,it staffing,it skills,technology recruitment,sourcing,technical recruitment
quantiphi analytics solutions pvt. ltd.,sales engineer (bfsi),"['mumbai', 'bengaluru']",1,4,bpo,travel,prototype,data science,bfsi,data analysis,machine learning,presales
zeta inc.,principal engineer - banking payments,"['mumbai', 'bengaluru']",7,10,object oriented design,automation,iso,rdbms,database design,network security,data structures,cryptography
go airlines india limited,manager - navitaire ods and mis reporting sme,['mumbai'],7,11,pss evaluation,navitaire,ods,mis reporting,,,,
databricks,customer success manager,"['mumbai', 'bangalore']",2,3,it skills,data science,cloud,big data,computer science,san,team management,spark
accenture solutions pvt ltd,acn - digital - analytics - solutions ai - 07,['mumbai'],2,5,nosql,access management,consulting,mongodb,asset management,professional services,vulnerability management,solution architect
svkms narsee monjee institute of management studies - nmims,engineer machine learning,['mumbai'],5,9,java,data analysis,scikitlearn,machine learning,data structures,python,keras,statistics
citius it solutions pvt ltd,devops ai engineer,"['mumbai', 'bangalore']",3,7,it skills,cloud,devops,jenkins,linux,data science,enterprise applications,gcp
twt,co-founder tech/ co-founder travel operations/ sales,"['mumbai', 'new delhi', 'bangalore']",7,12,travel technology,artificial intelligence,big data,travel operations,social media marketing,machine learning,product development,data science
diebold nixdorf,reporting backend developer,['mumbai'],5,10,metadata,backend,data management,machine learning,data analysis,agile,oracle,business intelligence
azumo,full stack developer,"['mumbai', 'delhi', 'bangalore']",5,10,javascript frameworks,backend,it skills,python,software development,data science,react.js,javascript
tradepath capital,c# developer,"['mumbai', 'bangalore']",5,7,mining,computer science,data analysis,data analysis,machine learning,mathematics,stock market,sql
epitome analytics,sql developer (wfh),"['chennai', 'mumbai', 'bangalore']",4,8,ssis,sql,etl,t-sql,process automation,data analysis,data structures,microsoft power bi
quantiphi analytics solutions pvt. ltd.,client solutions partner (insurance),"['mumbai', 'bengaluru']",2,5,bpo,travel,lead generation,sales,data science,data reporting,customer satisfaction,market intelligence
black turtle india pvt ltd,vice president-business intelligence analytics/python/google analytics,['mumbai'],10,15,business intelligence,data mining,web analytics,machine learning,data analysis,machine learning,data analysis,python
accenture solutions pvt ltd,acn - digital - analytics - solutions ai -11,['mumbai'],2,5,sql,sas,coding,cognos,consulting,business concepts,oracle,sybase
nividous,machine learning developer,"['mumbai', 'ahmedabad']",3,8,deep learning,manager quality assurance,scalability,architecture,technical design,opencv,consulting,machine learning
accenture solutions pvt ltd,machine learning application lead,['mumbai'],8,10,it skills,python,machine learning,deep learning,interpersonal skills,statistics,linux,networking
kec international ltd,software engineer,['mumbai'],3,7,java,asp .net core / django / bootstrap,c++,iot and automation,software engineering,rdbms,developer,nosql db
tata unistore,product operations analyst,['mumbai'],1,3,product management,accessories,data analysis,business leadership,data analysis,electronics,e-commerce,omniture
accenture solutions pvt ltd,analyst-campaign management,['mumbai'],3,5,it skills,cloud,digital marketing,salesforce,data analysis,data analysis,automation,direct marketing
nepa production india pvt ltd,analyst - ad-hoc and campaign team,['mumbai'],1,5,microsoft excel,spss,power point presentation,execution,data analysis,process improvement,data collection,data cleaning
accenture solutions pvt ltd,analyst-supply chain planning,['mumbai'],3,5,data reporting,microsoft excel,supply,supply chain planning,demand planning,supply chain,business administration,data analysis
accenture solutions pvt ltd,analyst-pharma erp,['mumbai'],3,5,data analysis,erp,sas,pharma,pharmacy,cognos,consulting,data analysis
accenture solutions pvt ltd,analyst-supply chain planning,['mumbai'],3,5,product quality,data analysis,consulting,supply chain planning,supply planning,data analysis,management,individual contributor
accenture solutions pvt ltd,analyst-procure to pay processing,['mumbai'],3,5,procurement,relationship management,data analysis,application management,data management,data reporting,finance,consulting
deutsche bank,analytics analyst,['mumbai'],2,5,data analysis,front office,fixed income,mysql,banking,data structures,market data,oracle
branch international,customer success associate,['mumbai'],1,4,loans,administration,typing speed,data science,data analysis,scheduling,customer service,credit risk
technosoft global services pvt ltd,plsql developer -mumbai,['mumbai'],5,10,sql scripting,data science,sql,,,,,
airbnb,"software engineer, payments compliance",['bangalore'],2,7,computer science,san,c++,backend,prototype,architecture,mis,machine learning
airbnb,senior software engineer,['bangalore'],5,10,computer science,san,c++,backend,mis,django,machine learning,data structures
deutsche bank,compliance testing officer,['mumbai'],2,5,remediation,assurance,compliance,diversity and inclusion,data analysis,manager quality control,training and development,risk management
concentrix technologies india pvt. ltd,senior data engineer sql,['gurgaon'],3,8,computer science,git,nosql,linux,hp data protector,workflow management,shell scripting,sql
varite,senior data engineer,['bangalore'],7,10,db2,rdbms,mysql,ssrs,informatica,oracle,ssis,business intelligence
varite,lead data/reporting analyst,['bangalore'],4,7,procurement,data cleansing,change management,automation,sap,project management,data analysis,fmcg
varite,data warehouse architect,['bangalore'],5,10,architect,sql,machine learning,database security,healthcare,data quality,stored procedures,data warehousing
ultimate search private limited,"avp - tech arch, python, ai / ml / nlp - mgr, digital transformation.",['noida'],10,20,artificial intelligence,python,digital transformation,machine learning,,,,
futurestep recruitment services private limited,data anonymisation,['bangalore'],4,9,data anonymisation,sas macros,sas sql,compliance,redaction,sas programming,daily operations,sas
fractal analytics,mlops / ml engineer,"['mumbai', 'delhi', 'bangalore']",3,8,machine learning,devops,python,microsoft azure,qubeflow,azure databricks,modeling,mlflow
vivan infotech,computer data entry operator / bpo / back office executive,"['noida', 'delhi', 'gurgaon']",0,3,bpo,data entry,chat process,technical,inbound,customer service,part,hr
vivan infotech,computer operator | mis |back office executive | data entry | fresher,"['noida', 'delhi', 'gurgaon']",0,3,hindi typing,inbound process,ms office,bpo,data entry,voice,chat process,technical
vivan infotech,computer data entry operator / bpo / back office executive,"['noida', 'delhi', 'gurgaon']",0,3,graduate,typing,data entry,bpo,voice,chat process,technical,inbound
assort staffing services private limited.,required data governance lead- pune location.,['pune'],7,12,data governance,,,,,,,
ciel hr services pvt ltd,java developer (data structures & algorithms) | bengaluru | permanent,['bangalore'],3,6,java,algorithms,data structures,,,,,
dream careers services,data architect for a top it mnc,['bangalore'],12,16,data architect,azure etl,ssrs,architect,msbi,data architecture,ssis,
tech planet,typing work / home based work / data entry operator / part time job,"['mohali', 'zirakpur', 'chandigarh']",0,1,bpo,data entry,typing,non voice process,computer operating,non voice,part time,recruitment
premier consultants,data science with fin-tech company,['hyderabad'],1,5,algorithm development,java,saas,natural language processing,maintenance,object oriented programming,machine learning,sql server dba
siro clinpharm pvt. ltd.,clinical research associate,"['mumbai', 'navi mumbai']",1,6,siv,clinical research,clinical studies,clinical research associate,site selection,site monitoring,site coordinator,clinical trials
hcapital business consulting private limited,hiring for manager data management - insurance industry - bangalore,['bangalore'],2,7,data analysis,data loading,data management,data transformation,data extraction,data,data analyst,operational support
shoptimize,frontend engineer - growth platform,['pune'],3,5,product management,computer science,front end,web technologies,web development,javascript,payment gateways,information retrieval
climate connect,machine learning - lead,['pune'],5,8,backend,iso,renewable energy,neural networks,xml,machine learning,mysql,debugging
deutsche bank,senior engineer,['pune'],15,18,process automation,business concepts,assurance,linux,agile,healthcare,business intelligence,stakeholder management
talent corner hr services pvt ltd,senior manager technology,"['mumbai', 'navi mumbai', 'hyderabad']",12,18,angularjs,it skills,java,cloud,project management,product management,html,css
talent corner hr services pvt ltd,senior manager technology,"['mumbai', 'navi mumbai', 'hyderabad']",12,18,it skills,java,cloud,project management,product management,angularjs,html,docker
finaxar pte. ltd.,software test engineer / senior software test engineer,['pune'],3,7,product management,automation,supply chain management,functional testing,scala,test cases,key management,content development
cerence inc.,senior software engineer (nlu and dialog),['pune'],5,7,computer science,automation,linux,xml,shell scripting,javascript,windows,troubleshooting
info edge india ltd.,client servicing (sales support) with firstnaukri.com,['pune'],1,3,recruitment,client servicing,campus recruitment,personal grooming,artificial intelligence,pool drives,marketing,talent acquisition
imarkserv,java tech lead - j2ee/spring/hibernate,['pune'],6,10,it skills,java,j2ee,software development,machine learning,performance testing,oracle,hibernate
avalara,"sr . product manager , filing automation",['pune'],7,12,process automation,computer science,erp,accounting,sales tax,machine learning,smb,data analysis
talkmetakeme software solutions private limited,"senior manager, automation",['pune'],7,12,automation,monitoring and automation,senior manager automation,devops,agile methodologies,agile,development,agile delivery pipeline
crisil limited,crisil- business intelligence plus qlik sense- pune,['pune'],4,7,business intelligence,qlik sense,qlikview,,,,,
execboardinasia,"senior tableau developer, avpvp",['pune'],11,15,change management,tableau,quality standards,manager quality assurance,diversity and inclusion,deployment,data quality,digital transformation
leading network mnc,backend developer,"['bangalore', 'pune']",3,8,backend,java,c++,go,python,,,
blueshift,senior product manager,['pune'],5,10,product management,computer science,san,staffing,artificial intelligence,machine learning,customer engagement,data analysis
6sense,senior ui/ux designer,['pune'],3,6,san,b2b,front end,user interface designing,illustrator,machine learning,interaction design,photoshop
deutsche bank,senior engineer vp,['pune'],3,7,automation,team management,architecture,xml,diversity and inclusion,agile,test driven development,selenium
logicmonitor (india) llp,"java, microservices, container technology, bangalore/pune","['bangalore', 'pune']",5,9,java,docker,microservices,kubernetes,,,,
velotio technologies pvt. ltd.,senior software engineer (golang + kubernetes),['pune'],3,7,go developer,kubernetes,google cloud,golang,,,,
crowdstrike,sr. associate i accounts payable,['pune'],3,5,erp,ticketing,helpdesk,assistant manager accounts,accounting,customer satisfaction,machine learning,equity
ecolab,sr . technical engineer i,['pune'],5,10,coding,process improvement,data analysis,data collection,healthcare,data processing,microsoft,operations
mjb technologies llp,msbi developer - etl/ssis,['pune'],4,5,data pipeline,etl tools,msbi,json,api,tableau,ssis,etl
maestrotek innovations pvt. ltd.,"sr. software developer iot, cloud, full stack (sd-012)",['pune'],3,5,software development,jquery,nosql,.net,node.js,mongodb,react.js,machine learning
finaxar pte. ltd.,business analyst,['pune'],2,6,supply chain management,business analysis,data science,customer satisfaction,resource allocation,manager technology,key management,management
smith & nephew healthcare,business analyst- intelligent automation- pune - immediate joiner only,['pune'],3,7,rpa,power apps,powerapps,process automation,lean,power bi,business analysis,requirement gathering
aideexpert advisory,business analyst,['pune'],8,12,data analysis,business concepts,data science,consulting,manager technology,market research,business modeling,customer experience
deutsche bank,business and functional analyst,['pune'],6,11,sap,corporate actions,machine learning,data analysis,cognos,billing,vice president,peoplesoft
execboardinasia,business analyst (financial analyst),['pune'],5,10,business process,training,solution design,data analysis,business analysis,functional analysis,financial analyst,user acceptance testing
deutsche bank,associate business functional analyst,['pune'],6,10,computer science,data analysis,financial reporting,machine learning,xml,functional analyst,agile,capital market
deutsche bank,avp business functional analyst,['pune'],10,15,computer science,data analysis,financial reporting,machine learning,xml,functional analyst,agile,capital market
deutsche bank,business analyst,['pune'],2,6,computer science,business process,data analysis,business analysis,agile,workflow,oracle,sdlc
nvidia,senior system software engineer - autonomous vehicles,['pune'],4,8,system architecture,c++,linux,image processing,machine learning,data structures,scheduling,resource management
nvidia,senior software technical program manager,['pune'],8,11,product management,autosar,computer science,c++,pmp,iso,machine learning,agile
nvidia,senior qa test developer - auto,['pune'],5,7,linux,simulation,project management,configuration management,debugging,test cases,jira,automotive
spectrum consultants india pvt ltd.,senior manager ( automation & tools development ),['pune'],12,17,c++,networking,project management,debugging,test planning,selenium,software quality,virtualization
rudder analytics,senior ml engineer,['pune'],1,3,ml engineer,,,,,,,
pri india,"sr. engineer, software engineering (speciality)",['pune'],5,10,it skills,java,machine learning,oracle,aws,health insurance,backend,orchestration
6sense,senior python developer,['pune'],5,8,it skills,python,machine learning,angularjs,big data,unix,nosql,linux
fresh gravity,"consultant/ sr. consultant, full stack developer",['pune'],2,6,data management,technology consulting,data science,artificial intelligence,consulting,business strategy,api,digital transformation
fresh gravity,"sr. consultant, informatica mdm",['pune'],2,6,development,artificial intelligence,consulting,informatica,business strategy,data analysis,solution architect,data management
pri india,"sr. engineer, software engineering (speciality)",['pune'],5,10,it skills,java,machine learning,oracle,aws,health insurance,backend,orchestration
6sense,senior python developer,['pune'],5,8,it skills,python,machine learning,angularjs,big data,unix,nosql,linux
fresh gravity,"consultant/ sr. consultant, full stack developer",['pune'],2,6,data management,technology consulting,data science,artificial intelligence,consulting,business strategy,api,digital transformation
fresh gravity,"sr. consultant, informatica mdm",['pune'],2,6,development,artificial intelligence,consulting,informatica,business strategy,data analysis,solution architect,data management
spectrum consultants india pvt ltd.,sr system sw engineer ( java + cloud ),['pune'],13,16,hibernate,core java,artificial intelligence,debugging,machine learning,agile,system software,jira
blueshift,senior cloud infrastructure cost analyst aws,['pune'],5,10,it skills,cloud,aws,san,automation,staffing,machine learning,infrastructure
clairvoyant tech soft private ltd,software engineer - java backend (senior),['pune'],5,7,performance tuning,backend,hibernate,enterprise applications,java software engineer,scrum,troubleshooting,middleware
clairvoyant tech soft private ltd,senior java full stack engineer (java + angular 2+ or reactjs),['pune'],5,7,performance tuning,hibernate,core java,enterprise applications,javascript,http,scrum,troubleshooting
clairvoyant tech soft private ltd,senior software quality engineer,['pune'],5,10,computer science,automation,manual testing,git,scrum,selenium,test cases,software quality
zs associates (india) pvt ltd,decision analytics consultant,['pune'],3,8,decision sciences,project leadership,client servicing,sales strategy,business development,data analysis,econometrics,client relationship
blueshift,senior quality automation release engineer,['pune'],5,10,it skills,testing,jenkins,aws,computer science,automation framework,san,automation
logicmonitor,senior software engineer,['pune'],3,8,product management,san,microsoft excel,intern,social media,sales intern,director,sales director
mediaocean asia private limited,senior software engineer test engineering,['pune'],4,5,test engineering,writing test cases,software qa,qc,life cycle,qa analysis,qa tools,jira
mediaocean asia private limited,senior software engineer - development (java + etl),['pune'],5,6,java,jms,maven,data warehouse,hibernate,software engineering,xml,jbpm
aera technology,senior database engineer,['pune'],4,6,san,performance tuning,automation,coding,mysql,disaster recovery,database administration,oracle
nvidia,senior system software engineer,['pune'],2,5,hibernate,core java,artificial intelligence,debugging,machine learning,agile,system software,jira
clairvoyant india pvt. ltd,senior frontend engineer,['pune'],5,10,it skills,java,testing,data science,cloud,devops,html,coding
fresh gravity,"consultant/ sr. consultant, full stack developer",['pune'],3,6,api management,artificial intelligence,data management,it skills,data science,artificial intelligence,talent acquisition,business strategy
6sense,senior frontend engineer (react.js),['pune'],4,6,unix,nosql,linux,rdbms,django,data analysis,machine learning,machine learning
aera technology,senior instructional designer,['pune'],1,2,san,administration,adobe acrobat,automation,lms,moodle,machine learning,wordpress
nvidia,senior system software engineer,['pune'],8,10,graphics,computer science,linux,mysql,x86,machine learning,scheduling,windows
deutsche bank,markets finance senior engineer,['pune'],12,17,automation,team management,architecture,xml,diversity and inclusion,agile,product control,investment banking
vsh solutions private limited,senior software engineer - ruby on rails,['pune'],8,12,computer science,software design,nosql,rdbms,gcp,mysql,machine learning,data structures
crowdstrike,senior office manager,['pune'],4,6,front office management,cyber security,office equipment,management,machine learning,scheduling,customer service,ms office
retail solution,sr. qa manager,['pune'],9,13,supply chain,manager quality assurance,data management,diagnostics,load testing,data analysis,machine learning,agile
nvidia,senior system software engineer - cloud,['pune'],4,7,graphics,computer science,mysql,machine learning,packaging,scheduling,system software,resource management
crowdstrike,senior engineer,['pune'],4,8,it skills,java,python,cloud,sql,aws,c++,automation
retail solution,senior product operations specialist,['pune'],4,8,it skills,python,oracle,supply chain,automation,data management,machine learning,production operations
hansen technologies,business analyst,['pune'],3,5,system architecture,manager quality assurance,data management,uml,consulting,billing,gap analysis,jira
wieden + kennedy delhi,business systems analyst,['pune'],1,4,product management,data analysis,healthcare,issue resolution,gap analysis,data mapping,test cases,user acceptance testing
hexonica,business analyst,['pune'],3,8,it skills,testing,data validation,business analysis,machine learning,test management,test scenarios,workflow
transparency market research,research analyst - ict,['pune'],1,3,pdf,quantitative research,end user support,market research,data analysis,ict,ms office,forecasting
diverse lynx,business analyst,['pune'],1,5,data analysis,interpersonal skills,microsoft excel,business analysis,finance,banking,risk management,risk analytics
larsen & toubro infotech limited,ba/ da - regulatory reporting - capital markets,['pune'],3,6,data analysis,business analysis,regulatory reporting,wholesale banking,data analysis,consulting,agile,data mapping
burgeon it services pvt ltd,business analyst,['pune'],6,11,devops,ci / cd,agile,micro services,it skills,it skills,business process optimization,it analyst
