Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
superior group,data scientist,['bangalore'],2,7,computer science,economics,data science,data analysis,scala,market research,mathematics,statistics
concerto.ai,data scientist,['bangalore'],2,5,python,aws,communication skills,cloud systems,modeling,machine learning,r,sql
kwalee ltd.,data scientist,['bangalore'],2,7,tensorflow,machine learning,postgresql,data management,scikit-learn,physics,sql,nosql
ab2 consulting pvt ltd,cloud data scientist,['bangalore'],15,18,anomaly detection,machine learning,r,algorithms,artificial neural networks,artificial intelligence,machine learning,statistics
lance labs private limited,data scientist/ data analyst/ data engineer,"['noida', 'chennai']",0,3,communication skills,r,python,it skills,artificial intelligence,microsoft azure,sql,machine learning
motilal oswal housing finance ltd.,data scientist,"['mumbai', 'navi mumbai']",3,8,machine learning,data mining,data extraction,data science,data analysis,,,
acidaes solutions pvt. ltd.,data scientist | only immediate joiner,['mumbai'],1,5,machine learning,python,sql,it skills,cloud,big data,customer relationship,artificial intelligence
compile,senior data scientist,['bangalore'],5,10,r,li,python,pytorch,tensorflow,p,product management,sales
noble house consulting india private limited,senior data scientist/data scientist,"['pune', 'hyderabad']",4,6,sas,sql,sas macros,sas stored procedures,sas,it skills,data science,machine learning
schneider electric india pvt. ltd.,data scientist,['bangalore'],5,7,simulation,neural networks,machine learning,scala,business solutions,statistics,monitoring,sql
mitron tv,data scientist - machine learning/sql,['pan india'],1,3,machine learning,sql,scala,data analysis,data analysis,communication skills,python,it skills
super india tech mark,data scientist,['varanasi'],0,1,machine learning,machine learning,statistics,nlp,nosql,sas,cassandra,neural networks
kinaxis,machine learning developer - data scientist,['chennai'],6,10,linux,docker,pyspark,spark,sql,python,data analysis,machine learning
arocom it solutions private limited,data engineer / data scientist (work from home),['remote'],6,8,it skills,python,machine learning,cloud,aws,work from home,r,bigquery
super india tech mark,data scientist,['visakhapatnam'],0,1,product development,management services,enterprise software,machine learning,nosql,cassandra,mongodb,data analysis
micron semiconductor asia pte ltd,data scientist - technology development,['hyderabad'],4,9,data science,r,neural networks,statistical modeling,statistical data analysis,data analysis,machine learning,python
agility e services pvt. ltd.,hiring data scientist @ agility hyderabad,['hyderabad'],5,7,artificial intelligence,it skills,python,data science,machine learning,big data,power bi,
agility e services pvt. ltd.,hiring data scientist @ agility hyderabad,['hyderabad'],5,7,artificial intelligence,it skills,python,data science,machine learning,big data,power bi,
amnet digital,immediate hiring for data scientist,['hyderabad'],3,6,scala,machine learning,tableau,sql,python,java,r,hadoop
mitratech india llp,data scientist,['hyderabad'],5,10,jupyter,java,numpy,r,data analysis,git,python,it skills
emojent inc,data scientist,['pune'],3,8,machine learning,data science,computer vision,object detection,artificial intelligence,text analytics,natural language processing,neural networks
wolters kluwer financial services,data scientist,"['nagar', 'kalyani', 'pune']",2,6,computer science,data analysis,operations research,operational excellence,coding,process improvement,data analysis,data analysis
wolters kluwer india pvt ltd,data scientist,"['kalyani', 'pune']",3,6,it skills,python,testing,machine learning,tableau,power bi,computer science,data analysis
merkle inc.,data scientist - innovations,['pune'],1,6,data analysis,data validation,power bi,troubleshooting,adobe,comparative analysis,data analysis,monitoring
infovision labs india pvt. ltd,excellent opportunity for data scientist,['pune'],6,10,natural language processing,machine learning,python,it skills,tableau,business intelligence,neural network,data analysis
t-systems information and communication technology india private limited,data scientist – next best action engines,['pune'],4,9,it skills,testing,machine learning,machine learning,statistical modeling,data mining,predictive analytics,
frontdoor india private limited,data scientist,['pune'],3,8,data science,algorithms,data analysis,sql,data analysis,tableau,machine learning,r shiny
trigent software,data scientist,['bangalore'],5,10,it skills,python,data science,machine learning,tableau,machine learning,tensorflow,r
trigent software,data scientist,['bangalore'],5,10,it skills,python,data science,machine learning,tableau,machine learning,tensorflow,r
rcpc,data scientist,['bangalore'],4,9,data science,java,r,nlp,c,algorithms,computer vision,machine learning
cogneau systems pvt ltd,associate data scientist,"['noida', 'delhi', 'gurgaon']",2,4,statistics,data analysis,python,pulp,matlab,gurobi,machine learning,integer programming
splashlearn,data scientist,"['haryana', 'gurgaon']",4,9,computer science,customer segmentation,data analysis,statistics,data science,data analysis,machine learning,data collection
optum global solutions (india) private limited,"lead data scientist - gurgaon, hr",['gurgaon'],9,11,it skills,python,data science,machine learning,big data,tableau,machine learning,machine learning
sociolla,data scientist,['gurgaon'],3,8,artificial intelligence,machine learning,python,numpy,sql,panda,data science,r
varite,data scientist,['gurgaon'],3,7,it skills,python,testing,machine learning,tableau,power bi,sas,data analysis
adreno technologies india private limited,data scientist,['gurgaon'],9,12,architecture,data model editor,layout editor,template builder,oracle analytics cloud,oracle cloud,artificial intelligence,it skills
exponentia datalabs,data scientist,['mumbai'],3,8,communication skills,sql,microsoft azure,python,aws,written,it skills,machine learning
exponentia datalabs,data scientist,['mumbai'],3,8,communication skills,sql,microsoft azure,python,aws,written,it skills,machine learning
